N,K,beta,window,class,prob,summary_file
100,2,0.001,other,class_C0J0,0.980706913571314,/Users/zhouyixiaoxiao/Library/CloudStorage/OneDrive-UniversityofBristol/Desktop/valley-k-small/reports/lazy_jump_ext/outputs/mc_beta_sweep_N100/cases/N100_K2_beta0.001/N100_K2_beta0.summary.csv
100,2,0.001,other,class_C0J1p,0.0,/Users/zhouyixiaoxiao/Library/CloudStorage/OneDrive-UniversityofBristol/Desktop/valley-k-small/reports/lazy_jump_ext/outputs/mc_beta_sweep_N100/cases/N100_K2_beta0.001/N100_K2_beta0.summary.csv
100,2,0.001,other,class_C1pJ0,0.0192930864286858,/Users/zhouyixiaoxiao/Library/CloudStorage/OneDrive-UniversityofBristol/Desktop/valley-k-small/reports/lazy_jump_ext/outputs/mc_beta_sweep_N100/cases/N100_K2_beta0.001/N100_K2_beta0.summary.csv
100,2,0.001,other,class_C1pJ1p,0.0,/Users/zhouyixiaoxiao/Library/CloudStorage/OneDrive-UniversityofBristol/Desktop/valley-k-small/reports/lazy_jump_ext/outputs/mc_beta_sweep_N100/cases/N100_K2_beta0.001/N100_K2_beta0.summary.csv
100,2,0.005,other,class_C0J0,0.909263479580502,/Users/zhouyixiaoxiao/Library/CloudStorage/OneDrive-UniversityofBristol/Desktop/valley-k-small/reports/lazy_jump_ext/outputs/mc_beta_sweep_N100/cases/N100_K2_beta0.005/N100_K2_beta0.summary.csv
100,2,0.005,other,class_C0J1p,0.0,/Users/zhouyixiaoxiao/Library/CloudStorage/OneDrive-UniversityofBristol/Desktop/valley-k-small/reports/lazy_jump_ext/outputs/mc_beta_sweep_N100/cases/N100_K2_beta0.005/N100_K2_beta0.summary.csv
100,2,0.005,other,class_C1pJ0,0.090736520419498,/Users/zhouyixiaoxiao/Library/CloudStorage/OneDrive-UniversityofBristol/Desktop/valley-k-small/reports/lazy_jump_ext/outputs/mc_beta_sweep_N100/cases/N100_K2_beta0.005/N100_K2_beta0.summary.csv
100,2,0.005,other,class_C1pJ1p,0.0,/Users/zhouyixiaoxiao/Library/CloudStorage/OneDrive-UniversityofBristol/Desktop/valley-k-small/reports/lazy_jump_ext/outputs/mc_beta_sweep_N100/cases/N100_K2_beta0.005/N100_K2_beta0.summary.csv
100,2,0.01,other,class_C0J0,0.8359278725129815,/Users/zhouyixiaoxiao/Library/CloudStorage/OneDrive-UniversityofBristol/Desktop/valley-k-small/reports/lazy_jump_ext/outputs/mc_beta_sweep_N100/cases/N100_K2_beta0.01/N100_K2_beta0.summary.csv
100,2,0.01,other,class_C0J1p,0.0,/Users/zhouyixiaoxiao/Library/CloudStorage/OneDrive-UniversityofBristol/Desktop/valley-k-small/reports/lazy_jump_ext/outputs/mc_beta_sweep_N100/cases/N100_K2_beta0.01/N100_K2_beta0.summary.csv
100,2,0.01,other,class_C1pJ0,0.1640721274870185,/Users/zhouyixiaoxiao/Library/CloudStorage/OneDrive-UniversityofBristol/Desktop/valley-k-small/reports/lazy_jump_ext/outputs/mc_beta_sweep_N100/cases/N100_K2_beta0.01/N100_K2_beta0.summary.csv
100,2,0.01,other,class_C1pJ1p,0.0,/Users/zhouyixiaoxiao/Library/CloudStorage/OneDrive-UniversityofBristol/Desktop/valley-k-small/reports/lazy_jump_ext/outputs/mc_beta_sweep_N100/cases/N100_K2_beta0.01/N100_K2_beta0.summary.csv
100,2,0.02,other,class_C0J0,0.7256396676884231,/Users/zhouyixiaoxiao/Library/CloudStorage/OneDrive-UniversityofBristol/Desktop/valley-k-small/reports/lazy_jump_ext/outputs/mc_beta_sweep_N100/cases/N100_K2_beta0.02/N100_K2_beta0.summary.csv
100,2,0.02,other,class_C0J1p,0.0,/Users/zhouyixiaoxiao/Library/CloudStorage/OneDrive-UniversityofBristol/Desktop/valley-k-small/reports/lazy_jump_ext/outputs/mc_beta_sweep_N100/cases/N100_K2_beta0.02/N100_K2_beta0.summary.csv
100,2,0.02,other,class_C1pJ0,0.2743603323115768,/Users/zhouyixiaoxiao/Library/CloudStorage/OneDrive-UniversityofBristol/Desktop/valley-k-small/reports/lazy_jump_ext/outputs/mc_beta_sweep_N100/cases/N100_K2_beta0.02/N100_K2_beta0.summary.csv
100,2,0.02,other,class_C1pJ1p,0.0,/Users/zhouyixiaoxiao/Library/CloudStorage/OneDrive-UniversityofBristol/Desktop/valley-k-small/reports/lazy_jump_ext/outputs/mc_beta_sweep_N100/cases/N100_K2_beta0.02/N100_K2_beta0.summary.csv
100,2,0.03,other,class_C0J0,0.6414512210992062,/Users/zhouyixiaoxiao/Library/CloudStorage/OneDrive-UniversityofBristol/Desktop/valley-k-small/reports/lazy_jump_ext/outputs/mc_beta_sweep_N100/cases/N100_K2_beta0.03/N100_K2_beta0.summary.csv
100,2,0.03,other,class_C0J1p,0.0,/Users/zhouyixiaoxiao/Library/CloudStorage/OneDrive-UniversityofBristol/Desktop/valley-k-small/reports/lazy_jump_ext/outputs/mc_beta_sweep_N100/cases/N100_K2_beta0.03/N100_K2_beta0.summary.csv
100,2,0.03,other,class_C1pJ0,0.3585487789007938,/Users/zhouyixiaoxiao/Library/CloudStorage/OneDrive-UniversityofBristol/Desktop/valley-k-small/reports/lazy_jump_ext/outputs/mc_beta_sweep_N100/cases/N100_K2_beta0.03/N100_K2_beta0.summary.csv
100,2,0.03,other,class_C1pJ1p,0.0,/Users/zhouyixiaoxiao/Library/CloudStorage/OneDrive-UniversityofBristol/Desktop/valley-k-small/reports/lazy_jump_ext/outputs/mc_beta_sweep_N100/cases/N100_K2_beta0.03/N100_K2_beta0.summary.csv
100,4,0.001,other,class_C0J0,0.7185879660650043,/Users/zhouyixiaoxiao/Library/CloudStorage/OneDrive-UniversityofBristol/Desktop/valley-k-small/reports/lazy_jump_ext/outputs/mc_beta_sweep_N100/cases/N100_K4_beta0.001/N100_K4_beta0.summary.csv
100,4,0.001,other,class_C0J1p,0.2733612345246317,/Users/zhouyixiaoxiao/Library/CloudStorage/OneDrive-UniversityofBristol/Desktop/valley-k-small/reports/lazy_jump_ext/outputs/mc_beta_sweep_N100/cases/N100_K4_beta0.001/N100_K4_beta0.summary.csv
100,4,0.001,other,class_C1pJ0,0.0048242946530734,/Users/zhouyixiaoxiao/Library/CloudStorage/OneDrive-UniversityofBristol/Desktop/valley-k-small/reports/lazy_jump_ext/outputs/mc_beta_sweep_N100/cases/N100_K4_beta0.001/N100_K4_beta0.summary.csv
100,4,0.001,other,class_C1pJ1p,0.0032265047572905,/Users/zhouyixiaoxiao/Library/CloudStorage/OneDrive-UniversityofBristol/Desktop/valley-k-small/reports/lazy_jump_ext/outputs/mc_beta_sweep_N100/cases/N100_K4_beta0.001/N100_K4_beta0.summary.csv
100,4,0.005,other,class_C0J0,0.6951462336117504,/Users/zhouyixiaoxiao/Library/CloudStorage/OneDrive-UniversityofBristol/Desktop/valley-k-small/reports/lazy_jump_ext/outputs/mc_beta_sweep_N100/cases/N100_K4_beta0.005/N100_K4_beta0.summary.csv
100,4,0.005,other,class_C0J1p,0.26455483437201,/Users/zhouyixiaoxiao/Library/CloudStorage/OneDrive-UniversityofBristol/Desktop/valley-k-small/reports/lazy_jump_ext/outputs/mc_beta_sweep_N100/cases/N100_K4_beta0.005/N100_K4_beta0.summary.csv
100,4,0.005,other,class_C1pJ0,0.0241524656719505,/Users/zhouyixiaoxiao/Library/CloudStorage/OneDrive-UniversityofBristol/Desktop/valley-k-small/reports/lazy_jump_ext/outputs/mc_beta_sweep_N100/cases/N100_K4_beta0.005/N100_K4_beta0.summary.csv
100,4,0.005,other,class_C1pJ1p,0.016146466344289,/Users/zhouyixiaoxiao/Library/CloudStorage/OneDrive-UniversityofBristol/Desktop/valley-k-small/reports/lazy_jump_ext/outputs/mc_beta_sweep_N100/cases/N100_K4_beta0.005/N100_K4_beta0.summary.csv
100,4,0.01,other,class_C0J0,0.6692117778528548,/Users/zhouyixiaoxiao/Library/CloudStorage/OneDrive-UniversityofBristol/Desktop/valley-k-small/reports/lazy_jump_ext/outputs/mc_beta_sweep_N100/cases/N100_K4_beta0.01/N100_K4_beta0.summary.csv
100,4,0.01,other,class_C0J1p,0.2554900075365784,/Users/zhouyixiaoxiao/Library/CloudStorage/OneDrive-UniversityofBristol/Desktop/valley-k-small/reports/lazy_jump_ext/outputs/mc_beta_sweep_N100/cases/N100_K4_beta0.01/N100_K4_beta0.summary.csv
100,4,0.01,other,class_C1pJ0,0.0454793523740221,/Users/zhouyixiaoxiao/Library/CloudStorage/OneDrive-UniversityofBristol/Desktop/valley-k-small/reports/lazy_jump_ext/outputs/mc_beta_sweep_N100/cases/N100_K4_beta0.01/N100_K4_beta0.summary.csv
100,4,0.01,other,class_C1pJ1p,0.0298188622365446,/Users/zhouyixiaoxiao/Library/CloudStorage/OneDrive-UniversityofBristol/Desktop/valley-k-small/reports/lazy_jump_ext/outputs/mc_beta_sweep_N100/cases/N100_K4_beta0.01/N100_K4_beta0.summary.csv
100,4,0.02,other,class_C0J0,0.6256370462028901,/Users/zhouyixiaoxiao/Library/CloudStorage/OneDrive-UniversityofBristol/Desktop/valley-k-small/reports/lazy_jump_ext/outputs/mc_beta_sweep_N100/cases/N100_K4_beta0.02/N100_K4_beta0.summary.csv
100,4,0.02,other,class_C0J1p,0.2359115790356745,/Users/zhouyixiaoxiao/Library/CloudStorage/OneDrive-UniversityofBristol/Desktop/valley-k-small/reports/lazy_jump_ext/outputs/mc_beta_sweep_N100/cases/N100_K4_beta0.02/N100_K4_beta0.summary.csv
100,4,0.02,other,class_C1pJ0,0.0835500513831505,/Users/zhouyixiaoxiao/Library/CloudStorage/OneDrive-UniversityofBristol/Desktop/valley-k-small/reports/lazy_jump_ext/outputs/mc_beta_sweep_N100/cases/N100_K4_beta0.02/N100_K4_beta0.summary.csv
100,4,0.02,other,class_C1pJ1p,0.0549013233782848,/Users/zhouyixiaoxiao/Library/CloudStorage/OneDrive-UniversityofBristol/Desktop/valley-k-small/reports/lazy_jump_ext/outputs/mc_beta_sweep_N100/cases/N100_K4_beta0.02/N100_K4_beta0.summary.csv
100,4,0.03,other,class_C0J0,0.5851840905252491,/Users/zhouyixiaoxiao/Library/CloudStorage/OneDrive-UniversityofBristol/Desktop/valley-k-small/reports/lazy_jump_ext/outputs/mc_beta_sweep_N100/cases/N100_K4_beta0.03/N100_K4_beta0.summary.csv
100,4,0.03,other,class_C0J1p,0.2220750295558183,/Users/zhouyixiaoxiao/Library/CloudStorage/OneDrive-UniversityofBristol/Desktop/valley-k-small/reports/lazy_jump_ext/outputs/mc_beta_sweep_N100/cases/N100_K4_beta0.03/N100_K4_beta0.summary.csv
100,4,0.03,other,class_C1pJ0,0.1168721499746664,/Users/zhouyixiaoxiao/Library/CloudStorage/OneDrive-UniversityofBristol/Desktop/valley-k-small/reports/lazy_jump_ext/outputs/mc_beta_sweep_N100/cases/N100_K4_beta0.03/N100_K4_beta0.summary.csv
100,4,0.03,other,class_C1pJ1p,0.0758687299442661,/Users/zhouyixiaoxiao/Library/CloudStorage/OneDrive-UniversityofBristol/Desktop/valley-k-small/reports/lazy_jump_ext/outputs/mc_beta_sweep_N100/cases/N100_K4_beta0.03/N100_K4_beta0.summary.csv
100,2,0.001,peak1,class_C0J0,0.0,/Users/zhouyixiaoxiao/Library/CloudStorage/OneDrive-UniversityofBristol/Desktop/valley-k-small/reports/lazy_jump_ext/outputs/mc_beta_sweep_N100/cases/N100_K2_beta0.001/N100_K2_beta0.summary.csv
100,2,0.001,peak1,class_C0J1p,0.0,/Users/zhouyixiaoxiao/Library/CloudStorage/OneDrive-UniversityofBristol/Desktop/valley-k-small/reports/lazy_jump_ext/outputs/mc_beta_sweep_N100/cases/N100_K2_beta0.001/N100_K2_beta0.summary.csv
100,2,0.001,peak1,class_C1pJ0,1.0,/Users/zhouyixiaoxiao/Library/CloudStorage/OneDrive-UniversityofBristol/Desktop/valley-k-small/reports/lazy_jump_ext/outputs/mc_beta_sweep_N100/cases/N100_K2_beta0.001/N100_K2_beta0.summary.csv
100,2,0.001,peak1,class_C1pJ1p,0.0,/Users/zhouyixiaoxiao/Library/CloudStorage/OneDrive-UniversityofBristol/Desktop/valley-k-small/reports/lazy_jump_ext/outputs/mc_beta_sweep_N100/cases/N100_K2_beta0.001/N100_K2_beta0.summary.csv
100,2,0.005,peak1,class_C0J0,0.0,/Users/zhouyixiaoxiao/Library/CloudStorage/OneDrive-UniversityofBristol/Desktop/valley-k-small/reports/lazy_jump_ext/outputs/mc_beta_sweep_N100/cases/N100_K2_beta0.005/N100_K2_beta0.summary.csv
100,2,0.005,peak1,class_C0J1p,0.0,/Users/zhouyixiaoxiao/Library/CloudStorage/OneDrive-UniversityofBristol/Desktop/valley-k-small/reports/lazy_jump_ext/outputs/mc_beta_sweep_N100/cases/N100_K2_beta0.005/N100_K2_beta0.summary.csv
100,2,0.005,peak1,class_C1pJ0,1.0,/Users/zhouyixiaoxiao/Library/CloudStorage/OneDrive-UniversityofBristol/Desktop/valley-k-small/reports/lazy_jump_ext/outputs/mc_beta_sweep_N100/cases/N100_K2_beta0.005/N100_K2_beta0.summary.csv
100,2,0.005,peak1,class_C1pJ1p,0.0,/Users/zhouyixiaoxiao/Library/CloudStorage/OneDrive-UniversityofBristol/Desktop/valley-k-small/reports/lazy_jump_ext/outputs/mc_beta_sweep_N100/cases/N100_K2_beta0.005/N100_K2_beta0.summary.csv
100,2,0.01,peak1,class_C0J0,0.0,/Users/zhouyixiaoxiao/Library/CloudStorage/OneDrive-UniversityofBristol/Desktop/valley-k-small/reports/lazy_jump_ext/outputs/mc_beta_sweep_N100/cases/N100_K2_beta0.01/N100_K2_beta0.summary.csv
100,2,0.01,peak1,class_C0J1p,0.0,/Users/zhouyixiaoxiao/Library/CloudStorage/OneDrive-UniversityofBristol/Desktop/valley-k-small/reports/lazy_jump_ext/outputs/mc_beta_sweep_N100/cases/N100_K2_beta0.01/N100_K2_beta0.summary.csv
100,2,0.01,peak1,class_C1pJ0,1.0,/Users/zhouyixiaoxiao/Library/CloudStorage/OneDrive-UniversityofBristol/Desktop/valley-k-small/reports/lazy_jump_ext/outputs/mc_beta_sweep_N100/cases/N100_K2_beta0.01/N100_K2_beta0.summary.csv
100,2,0.01,peak1,class_C1pJ1p,0.0,/Users/zhouyixiaoxiao/Library/CloudStorage/OneDrive-UniversityofBristol/Desktop/valley-k-small/reports/lazy_jump_ext/outputs/mc_beta_sweep_N100/cases/N100_K2_beta0.01/N100_K2_beta0.summary.csv
100,2,0.02,peak1,class_C0J0,0.0,/Users/zhouyixiaoxiao/Library/CloudStorage/OneDrive-UniversityofBristol/Desktop/valley-k-small/reports/lazy_jump_ext/outputs/mc_beta_sweep_N100/cases/N100_K2_beta0.02/N100_K2_beta0.summary.csv
100,2,0.02,peak1,class_C0J1p,0.0,/Users/zhouyixiaoxiao/Library/CloudStorage/OneDrive-UniversityofBristol/Desktop/valley-k-small/reports/lazy_jump_ext/outputs/mc_beta_sweep_N100/cases/N100_K2_beta0.02/N100_K2_beta0.summary.csv
100,2,0.02,peak1,class_C1pJ0,1.0,/Users/zhouyixiaoxiao/Library/CloudStorage/OneDrive-UniversityofBristol/Desktop/valley-k-small/reports/lazy_jump_ext/outputs/mc_beta_sweep_N100/cases/N100_K2_beta0.02/N100_K2_beta0.summary.csv
100,2,0.02,peak1,class_C1pJ1p,0.0,/Users/zhouyixiaoxiao/Library/CloudStorage/OneDrive-UniversityofBristol/Desktop/valley-k-small/reports/lazy_jump_ext/outputs/mc_beta_sweep_N100/cases/N100_K2_beta0.02/N100_K2_beta0.summary.csv
100,2,0.03,peak1,class_C0J0,0.0,/Users/zhouyixiaoxiao/Library/CloudStorage/OneDrive-UniversityofBristol/Desktop/valley-k-small/reports/lazy_jump_ext/outputs/mc_beta_sweep_N100/cases/N100_K2_beta0.03/N100_K2_beta0.summary.csv
100,2,0.03,peak1,class_C0J1p,0.0,/Users/zhouyixiaoxiao/Library/CloudStorage/OneDrive-UniversityofBristol/Desktop/valley-k-small/reports/lazy_jump_ext/outputs/mc_beta_sweep_N100/cases/N100_K2_beta0.03/N100_K2_beta0.summary.csv
100,2,0.03,peak1,class_C1pJ0,1.0,/Users/zhouyixiaoxiao/Library/CloudStorage/OneDrive-UniversityofBristol/Desktop/valley-k-small/reports/lazy_jump_ext/outputs/mc_beta_sweep_N100/cases/N100_K2_beta0.03/N100_K2_beta0.summary.csv
100,2,0.03,peak1,class_C1pJ1p,0.0,/Users/zhouyixiaoxiao/Library/CloudStorage/OneDrive-UniversityofBristol/Desktop/valley-k-small/reports/lazy_jump_ext/outputs/mc_beta_sweep_N100/cases/N100_K2_beta0.03/N100_K2_beta0.summary.csv
100,4,0.001,peak1,class_C0J0,0.0,/Users/zhouyixiaoxiao/Library/CloudStorage/OneDrive-UniversityofBristol/Desktop/valley-k-small/reports/lazy_jump_ext/outputs/mc_beta_sweep_N100/cases/N100_K4_beta0.001/N100_K4_beta0.summary.csv
100,4,0.001,peak1,class_C0J1p,0.0,/Users/zhouyixiaoxiao/Library/CloudStorage/OneDrive-UniversityofBristol/Desktop/valley-k-small/reports/lazy_jump_ext/outputs/mc_beta_sweep_N100/cases/N100_K4_beta0.001/N100_K4_beta0.summary.csv
100,4,0.001,peak1,class_C1pJ0,0.625,/Users/zhouyixiaoxiao/Library/CloudStorage/OneDrive-UniversityofBristol/Desktop/valley-k-small/reports/lazy_jump_ext/outputs/mc_beta_sweep_N100/cases/N100_K4_beta0.001/N100_K4_beta0.summary.csv
100,4,0.001,peak1,class_C1pJ1p,0.375,/Users/zhouyixiaoxiao/Library/CloudStorage/OneDrive-UniversityofBristol/Desktop/valley-k-small/reports/lazy_jump_ext/outputs/mc_beta_sweep_N100/cases/N100_K4_beta0.001/N100_K4_beta0.summary.csv
100,4,0.005,peak1,class_C0J0,0.0,/Users/zhouyixiaoxiao/Library/CloudStorage/OneDrive-UniversityofBristol/Desktop/valley-k-small/reports/lazy_jump_ext/outputs/mc_beta_sweep_N100/cases/N100_K4_beta0.005/N100_K4_beta0.summary.csv
100,4,0.005,peak1,class_C0J1p,0.0,/Users/zhouyixiaoxiao/Library/CloudStorage/OneDrive-UniversityofBristol/Desktop/valley-k-small/reports/lazy_jump_ext/outputs/mc_beta_sweep_N100/cases/N100_K4_beta0.005/N100_K4_beta0.summary.csv
100,4,0.005,peak1,class_C1pJ0,0.6530172413793104,/Users/zhouyixiaoxiao/Library/CloudStorage/OneDrive-UniversityofBristol/Desktop/valley-k-small/reports/lazy_jump_ext/outputs/mc_beta_sweep_N100/cases/N100_K4_beta0.005/N100_K4_beta0.summary.csv
100,4,0.005,peak1,class_C1pJ1p,0.3469827586206896,/Users/zhouyixiaoxiao/Library/CloudStorage/OneDrive-UniversityofBristol/Desktop/valley-k-small/reports/lazy_jump_ext/outputs/mc_beta_sweep_N100/cases/N100_K4_beta0.005/N100_K4_beta0.summary.csv
100,4,0.01,peak1,class_C0J0,0.0,/Users/zhouyixiaoxiao/Library/CloudStorage/OneDrive-UniversityofBristol/Desktop/valley-k-small/reports/lazy_jump_ext/outputs/mc_beta_sweep_N100/cases/N100_K4_beta0.01/N100_K4_beta0.summary.csv
100,4,0.01,peak1,class_C0J1p,0.0,/Users/zhouyixiaoxiao/Library/CloudStorage/OneDrive-UniversityofBristol/Desktop/valley-k-small/reports/lazy_jump_ext/outputs/mc_beta_sweep_N100/cases/N100_K4_beta0.01/N100_K4_beta0.summary.csv
100,4,0.01,peak1,class_C1pJ0,0.696969696969697,/Users/zhouyixiaoxiao/Library/CloudStorage/OneDrive-UniversityofBristol/Desktop/valley-k-small/reports/lazy_jump_ext/outputs/mc_beta_sweep_N100/cases/N100_K4_beta0.01/N100_K4_beta0.summary.csv
100,4,0.01,peak1,class_C1pJ1p,0.303030303030303,/Users/zhouyixiaoxiao/Library/CloudStorage/OneDrive-UniversityofBristol/Desktop/valley-k-small/reports/lazy_jump_ext/outputs/mc_beta_sweep_N100/cases/N100_K4_beta0.01/N100_K4_beta0.summary.csv
100,4,0.02,peak1,class_C0J0,0.0,/Users/zhouyixiaoxiao/Library/CloudStorage/OneDrive-UniversityofBristol/Desktop/valley-k-small/reports/lazy_jump_ext/outputs/mc_beta_sweep_N100/cases/N100_K4_beta0.02/N100_K4_beta0.summary.csv
100,4,0.02,peak1,class_C0J1p,0.0,/Users/zhouyixiaoxiao/Library/CloudStorage/OneDrive-UniversityofBristol/Desktop/valley-k-small/reports/lazy_jump_ext/outputs/mc_beta_sweep_N100/cases/N100_K4_beta0.02/N100_K4_beta0.summary.csv
100,4,0.02,peak1,class_C1pJ0,0.6817129629629629,/Users/zhouyixiaoxiao/Library/CloudStorage/OneDrive-UniversityofBristol/Desktop/valley-k-small/reports/lazy_jump_ext/outputs/mc_beta_sweep_N100/cases/N100_K4_beta0.02/N100_K4_beta0.summary.csv
100,4,0.02,peak1,class_C1pJ1p,0.318287037037037,/Users/zhouyixiaoxiao/Library/CloudStorage/OneDrive-UniversityofBristol/Desktop/valley-k-small/reports/lazy_jump_ext/outputs/mc_beta_sweep_N100/cases/N100_K4_beta0.02/N100_K4_beta0.summary.csv
100,4,0.03,peak1,class_C0J0,0.0,/Users/zhouyixiaoxiao/Library/CloudStorage/OneDrive-UniversityofBristol/Desktop/valley-k-small/reports/lazy_jump_ext/outputs/mc_beta_sweep_N100/cases/N100_K4_beta0.03/N100_K4_beta0.summary.csv
100,4,0.03,peak1,class_C0J1p,0.0,/Users/zhouyixiaoxiao/Library/CloudStorage/OneDrive-UniversityofBristol/Desktop/valley-k-small/reports/lazy_jump_ext/outputs/mc_beta_sweep_N100/cases/N100_K4_beta0.03/N100_K4_beta0.summary.csv
100,4,0.03,peak1,class_C1pJ0,0.7139006546014632,/Users/zhouyixiaoxiao/Library/CloudStorage/OneDrive-UniversityofBristol/Desktop/valley-k-small/reports/lazy_jump_ext/outputs/mc_beta_sweep_N100/cases/N100_K4_beta0.03/N100_K4_beta0.summary.csv
100,4,0.03,peak1,class_C1pJ1p,0.2860993453985367,/Users/zhouyixiaoxiao/Library/CloudStorage/OneDrive-UniversityofBristol/Desktop/valley-k-small/reports/lazy_jump_ext/outputs/mc_beta_sweep_N100/cases/N100_K4_beta0.03/N100_K4_beta0.summary.csv
