scan_name,case_id,corridor_halfwidth,bx,delta_core,delta_open,kappa_c2o,kappa_o2c,phase,t_peak1,t_valley,t_peak2,valley_over_max,sep_peaks,no_leak_total,leak_total,rollback_total,late_window_name,late_window_lo,late_window_hi,late_hit_mass,late_flux_c2o,late_flux_o2c,late_L0R0,late_L0R1,late_L1R0,late_L1R1,late_rollback_share,late_tau_out_prob,late_tau_out_mean_event_time,late_tau_out_mean_hit_time,late_tau_out_ratio,late_tau_out_early_mass,late_tau_out_late_mass,late_tau_out_no_exit_mass,late_tau_mem_prob,late_tau_mem_mean_event_time,late_tau_mem_mean_hit_time,late_tau_mem_ratio,late_tau_mem_early_mass,late_tau_mem_late_mass,late_tau_mem_no_exit_mass,late_left_core_share,late_left_shoulders_share,late_left_outer_share,late_corridor_share,late_outer_reservoir_share,late_target_funnel_share
delta,delta_core_p0p40_open_p0p00,2,-0.08,0.4,0.0,0.002,0.002,0,,,,,0.0,0.9190532981467383,0.0809467018532616,0.9561255207058931,late,260,360,1.5490328383733812e-05,2.0475951546114496e-08,8.023332119952293e-09,0.35255041375434565,0.6458001052921769,0.0005856119651656982,0.0010638689883116904,0.6468639742804886,0.36414529879671914,295.4900094371523,328.18797547941983,0.9003681777356344,0.01095549740360077,0.3531898013931184,0.6358547012032809,0.0013214517868926105,248.33427299172473,328.18797547941983,0.7566830339501497,0.00017260063634939085,0.0011488511505432196,0.9986785482131074,0.0011612631354764584,0.000484447821106963,0.00023040765853020285,0.9361983733451585,0.0013767770985460073,0.06054873094118169
delta,delta_core_p0p40_open_p0p20,2,-0.08,0.4,0.2,0.002,0.002,0,,,,,0.0,0.8951710942375649,0.10482890576243518,0.9688256409519677,late,260,360,2.373554597674925e-05,2.905523223942048e-08,1.2074608063018586e-08,0.34435696689527645,0.654101136756973,0.0005250600543290033,0.0010168362934214032,0.6551179730503944,0.3468405338404465,292.0323289453831,328.12313639607277,0.8900083430656808,0.015265178548733646,0.33157535529171284,0.6531594661595534,0.0012237460367842542,241.27386321414508,328.12313639607277,0.7353149974859037,0.00019583633704830443,0.0010279096997359498,0.9987762539632158,0.0016162425111336987,0.0006796897025492616,0.00033382317074415635,0.9381005632953683,0.0012118173723898078,0.0580578639478149
delta,delta_core_p0p40_open_p0p40,2,-0.08,0.4,0.4,0.002,0.002,0,,,,,0.0,0.8716286400966125,0.12837135990338758,0.975336506731834,late,260,360,3.253193135458222e-05,3.821159712637157e-08,1.6200396762958373e-08,0.33649772413856804,0.6620212251160483,0.00048278141860679294,0.0009982693267768018,0.6630194944428252,0.335417974370616,288.5310209440254,328.0690641586542,0.8794825616489452,0.019497640996633845,0.3159203333739821,0.664582025629384,0.0011742155155606523,234.2095767903277,328.0690641586542,0.7139032672616273,0.00022230383783718632,0.0009519116777234659,0.9988257844844394,0.002035564534391812,0.0008650976695396074,0.0004378729398356009,0.9398935202410604,0.0011053032831257862,0.05566264133204674
delta,delta_core_p0p40_open_p0p55,2,-0.08,0.4,0.55,0.002,0.002,0,,,,,0.0,0.8561021516864993,0.1438978483135007,0.9781506202828456,late,260,360,3.914316983112951e-05,4.519566434085542e-08,1.9156870584961227e-08,0.33099000725610084,0.6675579094400433,0.00045797186754726265,0.0009941114363084661,0.6685520208763518,0.3286760365097549,286.05373588432684,328.0320871013111,0.872029740785634,0.022394153395681408,0.3062818831140735,0.671323963490245,0.0011542486461370916,228.9815431129007,328.0320871013111,0.6980461732762774,0.0002434576869614329,0.0009107909591756587,0.9988457513538629,0.0022997748609320866,0.0009862859552194113,0.0005098993909131168,0.9412247949680179,0.0010457451899055278,0.053933499635012
delta,delta_core_p0p40_open_p0p80,2,-0.08,0.4,0.8,0.002,0.002,0,,,,,0.0,0.8353792558516994,0.16462074414830066,0.9808771507855268,late,260,360,4.970469684215183e-05,5.666267362039785e-08,2.3600270129389944e-08,0.3227406831303881,0.6758371551446121,0.0004251112795711351,0.0009970504454286247,0.6768342055900407,0.3191813741447634,282.4253261246309,327.97469626270544,0.8611192550610983,0.026431686232412092,0.2927496879123513,0.6808186258552367,0.0011395941214181638,220.60906812525587,327.97469626270544,0.6726405135490988,0.00027873268409734134,0.0008608614373208224,0.9988604058785818,0.002622843551262612,0.0011434224987432481,0.0006106743654392427,0.9434174329540328,0.0009687931230071788,0.051236833507514824
delta,delta_core_p0p60_open_p0p00,2,-0.08,0.6,0.0,0.002,0.002,0,,,,,0.0,0.8750204861820213,0.12497951381797863,0.9396075726355704,late,260,360,0.0007390665022478129,8.026248785098087e-07,4.63434149046611e-07,0.34520644795432054,0.6532654845781282,0.0005286351254703548,0.0009994323420808855,0.654264916920209,0.3884012877704455,291.4344547732549,326.16898387260665,0.8935075656583026,0.011900763071167358,0.3765005246992782,0.6115987122295545,0.0010856641732558765,238.46798846107458,326.16898387260665,0.7311179181715639,0.00018185855099507662,0.0009038056222607999,0.9989143358267442,0.001256809564488997,0.0005256921332221335,0.0002742225950855099,0.9303088205416392,0.0016276860924557225,0.06600676907310839
delta,delta_core_p0p60_open_p0p20,2,-0.08,0.6,0.2,0.002,0.002,0,,,,,0.0,0.8512392024835994,0.14876079751640062,0.949282231507114,late,260,360,0.0011177913429176645,1.146511323321246e-06,6.830629596878938e-07,0.33678148570774824,0.661767632649894,0.0004783510730063573,0.0009725305693515856,0.6627401632192456,0.3702085004426876,288.1091785329785,326.05991838051864,0.8836080802693116,0.016503840917663534,0.35370465952502406,0.6297914995573124,0.0010253721405546951,228.800799662437,326.05991838051864,0.7017139696251219,0.00021231638539296964,0.0008130557551617255,0.9989746278594454,0.0017403768403393106,0.000734274448256837,0.00039580930063311937,0.9326475003664245,0.0014381334141764957,0.06304390563016948
delta,delta_core_p0p60_open_p0p40,2,-0.08,0.6,0.4,0.002,0.002,0,,,,,0.0,0.8342587494632918,0.16574125053670805,0.9530187201122894,late,260,360,0.0015132588252935206,1.5151816635259433e-06,8.981731505436432e-07,0.32881614010328825,0.6697758114425258,0.0004412671375590765,0.000966781316626778,0.6707425927591526,0.35774194821327393,284.8053166300021,325.9645201162705,0.8737310322252648,0.020921107486690002,0.3368208407265839,0.642258051786726,0.0010009452797863185,219.25897161923297,325.9645201162705,0.672646739409013,0.00024545416298960834,0.0007554911167967102,0.9989990547202137,0.0021725066520641907,0.0009267224422567653,0.0005155228566282849,0.9348680608754023,0.0013133235049498212,0.060203863668698426
delta,delta_core_p0p60_open_p0p55,2,-0.08,0.6,0.55,0.002,0.002,0,,,,,0.0,0.8259966907129059,0.17400330928709407,0.9540247426077906,late,260,360,0.0018050265222183414,1.7976524337618834e-06,1.0469653765128887e-06,0.3233149382240713,0.6752965026874161,0.0004187813793556097,0.0009697777091567868,0.6762662803965729,0.35018530430734895,282.51368340818095,325.89877087241746,0.8668755719817647,0.023870400388213767,0.3263149039191352,0.649814695692651,0.0009955792866196901,212.3478069181823,325.89877087241746,0.6515759674384044,0.00027221559500367206,0.000723363691616018,0.9990044207133804,0.0024342653719947307,0.0010481036588744067,0.0005963220950668487,0.9365051277041812,0.0012424793847327924,0.05817370178515006
delta,delta_core_p0p60_open_p0p80,2,-0.08,0.6,0.8,0.002,0.002,0,,,,,0.0,0.8181481270769655,0.18185187292303456,0.9542397738368367,late,260,360,0.0022617967537300783,2.2636182050577157e-06,1.2617266810513465e-06,0.31521781886262096,0.6834119107870155,0.0003883412736017492,0.0009819290767618752,0.6843938398637773,0.3393616025287089,279.2467406548061,325.7980345458784,0.8571160996843982,0.02783656783949217,0.3115250346892167,0.660638397471291,0.001000444474967349,201.6118351690316,325.7980345458784,0.6188245900563925,0.0003173016128731541,0.0006831428620941948,0.9989995555250326,0.0027343595016002063,0.0011970891857685532,0.00070536541438144,0.9391634047288016,0.001149755871183839,0.055050025298264305
delta,delta_core_p0p80_open_p0p00,2,-0.08,0.8,0.0,0.002,0.002,1,554,1490,2327,0.19043366227624353,0.674914350970689,0.8719590397165151,0.12804096028348497,0.9183047169372281,peak2,2301,2353,0.004489990712372687,0.0004807149285424488,0.00025172141722862843,0.00022109046458254817,0.8504435125396945,0.0011314207336801554,0.1482039762620427,0.9986474888017373,0.9999696653944328,346.88730883468895,2327.000083612895,0.1490706043706335,0.9967525483865893,0.0032171170078434397,3.0334605567228223e-05,0.10372071089128494,593.9983418365043,2327.000083612895,0.25526356703617464,0.08855584634011111,0.015164864551173829,0.896279289108715,0.06224311448499623,0.04146774196662932,0.20699009802706766,0.4406483451863272,0.21104763355268313,0.03760306678229662
delta,delta_core_p0p80_open_p0p20,2,-0.08,0.8,0.2,0.002,0.002,1,551,1468,2204,0.20244370380159316,0.6285171102661598,0.8577801005050677,0.1422198994949322,0.9247079169935843,peak2,2178,2230,0.006976935410829536,0.0008666622804597957,0.0003450355211250515,0.0002778320419458347,0.8409716497100683,0.0011006028037773056,0.15764991544420853,0.9986215651542769,0.9999369800375686,366.1392869094482,2203.9998723896642,0.16612491293498372,0.995707458065239,0.00422952197232962,6.301996243140984e-05,0.11914820823645986,591.2298593396597,2203.9998723896642,0.26825312775477833,0.1015180760578192,0.01763013217864065,0.8808517917635401,0.04744126046811727,0.032007278153830705,0.1664856255485128,0.4793999589676561,0.23663762923262993,0.0380282476292533
delta,delta_core_p0p80_open_p0p40,2,-0.08,0.8,0.4,0.002,0.002,1,547,1449,2122,0.1911660446248345,0.707388277565686,0.8514540570282835,0.14854594297171644,0.9248083161902089,peak2,2096,2148,0.008851378709643943,0.0012149668325069523,0.0003992207270415554,0.0003418957711766131,0.8337310155255375,0.0011020920986469238,0.16482499660463915,0.9985560121301766,0.9998888678376099,385.22922168839017,2122.0001827661436,0.18154061663944945,0.9946630902049256,0.005225777632684281,0.00011113216239011514,0.1303668272206353,589.1166295934934,2122.0001827661436,0.2776232699591701,0.11106533699197191,0.019301490228663398,0.8696331727793647,0.03528771163532189,0.024257184672127716,0.13300352458320075,0.5105259974792455,0.2587244835178921,0.03820109811221185
delta,delta_core_p0p80_open_p0p55,2,-0.08,0.8,0.55,0.002,0.002,1,545,1432,2076,0.17720926918944432,0.7693467336683417,0.8502822629321176,0.14971773706788244,0.9232281002438273,peak2,2050,2102,0.009838380780663711,0.0014175458669926093,0.000418976012208895,0.00039523941748943487,0.8304124366216752,0.0011174649018737888,0.16807485905896152,0.9984872956806368,0.9998416007283588,396.89669088665136,2076.00022152541,0.19118335671227354,0.9938379819358907,0.006003618792468135,0.00015839927164118528,0.13594861355680907,586.3660476158988,2076.00022152541,0.28244989645764434,0.11587282290337764,0.02007579065343143,0.8640513864431909,0.02849656664536214,0.01991752890140599,0.11401345724422995,0.528109910260383,0.2713015449726869,0.03816099197593209
delta,delta_core_p0p80_open_p0p80,2,-0.08,0.8,0.8,0.002,0.002,1,540,1404,2017,0.1550719152222846,0.8954228554107305,0.8516936675111656,0.14830633248883446,0.9196804316299245,peak2,1991,2043,0.010886622483146516,0.0016537680716476268,0.0004285887471300572,0.0004933821442540019,0.8270706846079319,0.0011609580374630749,0.1712749752103511,0.9983456598182829,0.9997403032399864,411.4041178056362,2017.0000399942946,0.2039683240694432,0.992465316175613,0.0072749870643734615,0.00025969676001358355,0.14209417446066094,579.6470604401835,2017.0000399942946,0.2873807877771897,0.12134814208744354,0.0207460323732174,0.857905825539339,0.02073237214257783,0.014951646170370975,0.0922272059279469,0.5486783552402963,0.28548555166645134,0.037924868852356915
delta,delta_core_p0p95_open_p0p00,2,-0.08,0.95,0.0,0.002,0.002,1,437,1189,1966,0.1121813778670699,0.5952890792291221,0.8758316816857553,0.12416831831424464,0.9019818123093778,peak2,1940,1992,0.005450765698589976,0.000455361806339044,0.00028584394273475813,0.00043312301291032303,0.8743089662774784,0.0015055765264619012,0.12375233418314942,0.9980613004606279,0.9999996141551382,310.4955779280949,1966.0002040479774,0.15793262751895307,0.9994096154927272,0.0005899986624109399,3.858448618387911e-07,0.0814361735828694,458.6207229194757,1966.0002040479774,0.23327603017292656,0.07053884700882451,0.010897326574044894,0.9185638264171306,0.05524780616105196,0.03689232913120886,0.18524166017612095,0.41087967577468043,0.26472644858401284,0.047012080172924825
delta,delta_core_p0p95_open_p0p20,2,-0.08,0.95,0.2,0.002,0.002,1,431,1174,1869,0.1159326495724875,0.6569209684787575,0.8668056831871938,0.13319431681280627,0.9059390898138576,peak2,1843,1895,0.008474382754159132,0.000784777769791759,0.0003833917324225697,0.0005398278742165486,0.872494948118983,0.0014352613828976725,0.1255299626239029,0.9980249107428859,0.9999990199665028,324.9223408720433,1869.0002526890341,0.17384820596174858,0.9991876514709765,0.0008113684955262102,9.800334972442926e-07,0.08953381358677669,461.1243692724705,1869.0002526890341,0.2467224756171249,0.07721721965097661,0.012316593935800077,0.9104661864132233,0.041684647494735654,0.028233500166856135,0.1485892248848061,0.4420034878382544,0.2924023009317069,0.04708683868364094
delta,delta_core_p0p95_open_p0p40,2,-0.08,0.95,0.4,0.002,0.002,1,427,1159,1801,0.10651719369672162,0.7833523375142531,0.8651262643082401,0.13487373569175984,0.9032494599708342,peak2,1775,1827,0.010813339600193105,0.001064322585494712,0.00043776990147939,0.0006617476608379842,0.8717670392752844,0.001431283265945764,0.1261399297979319,0.9979069690732163,0.9999979646224075,337.2939019378626,1801.0003421123827,0.18728142024795652,0.9989597419656819,0.0010382226567255959,2.0353775924686346e-06,0.09440345086099795,462.4108243271882,1801.0003421123827,0.256752213486439,0.0812196650037565,0.013183785857241448,0.905596549139002,0.030974047336489605,0.02142676223461929,0.11963386099237514,0.4662882630888092,0.3147975940355866,0.046879472312120224
delta,delta_core_p0p95_open_p0p55,2,-0.08,0.95,0.55,0.002,0.002,2,424,1145,1762,0.09666440641918295,1.464696223316913,0.8666678992935082,0.1333321007064919,0.8996921920945128,peak2,1736,1788,0.012071695011803529,0.0012206777059903609,0.00045660571676813547,0.0007621545606298557,0.8719622268021796,0.0014521786129007431,0.12582344002428994,0.9977856668264695,0.9999967957897096,344.06605185829795,1762.0002031426986,0.19527015447820192,0.9988008790564331,0.0011959167332764586,3.204210290430609e-06,0.09647851051370164,461.6249837003989,1762.0002031426986,0.2619891773434792,0.08296585068377585,0.013512659829925791,0.9035214894862984,0.02512900476491512,0.01771709154059554,0.10378827421685928,0.4797848242280689,0.3270076326400464,0.046573172609514685
delta,delta_core_p0p95_open_p0p80,2,-0.08,0.95,0.8,0.002,0.002,2,419,1123,1712,0.0817390749059314,1.8071278825995807,0.8712114993755254,0.1287885006244746,0.8932987113413182,peak2,1686,1738,0.013422016150475011,0.0013985108834007655,0.00046419776334321667,0.0009433109601043025,0.8723834298045778,0.0015120676798984357,0.12516119155541935,0.9975446213599972,0.9999940345609352,351.7538867044113,1712.000394354784,0.20546367154137235,0.9985370068471123,0.0014570277138228338,5.965439064836708e-06,0.09873337726821503,457.7226261502356,1712.000394354784,0.2673612854643888,0.08498881963814982,0.013744557630065213,0.9012666227317849,0.01847816379662389,0.01350998265674881,0.08600964014583537,0.495541389124296,0.3404682287864583,0.04599259549003765
delta,delta_core_p1p00_open_p0p00,2,-0.08,1.0,0.0,0.002,0.002,1,408,1122,1881,0.09656235931920967,0.5760657019945248,0.8772884088045977,0.12271159119540245,0.8966295337693352,peak2,1855,1907,0.005721873685624291,0.000444601822055941,0.0002948407586495095,0.0005445402426537091,0.8802313431236555,0.001658383220896835,0.1175657334127939,0.9977970765364493,0.9999999246955606,298.4927702121149,1881.000010911395,0.15868834050005515,0.9996844474971539,0.00031547719840674393,7.530443935088726e-08,0.07586363480826262,427.30339941729954,1881.000010911395,0.22716820677223684,0.06588472662825126,0.009978908180011362,0.9241363651917374,0.053444006066207805,0.03571516760839243,0.1796548958325468,0.4009200194527693,0.2805020175252692,0.04976389351481452
delta,delta_core_p1p00_open_p0p20,2,-0.08,1.0,0.2,0.002,0.002,1,402,1107,1789,0.09888273543281029,0.8644437519476472,0.8696263157778144,0.13037368422218568,0.8997809092632291,peak2,1763,1815,0.008898782477074032,0.0007573748600858775,0.00039318224205674233,0.0006756216904301614,0.8800009213776216,0.0015732699654061933,0.11775018696654195,0.9977511083441636,0.9999997939050966,311.3163174629077,1788.9997828028836,0.17401696772436628,0.9995600707541776,0.0004397231509190025,2.0609490336553904e-07,0.08245694020699076,430.3007792762672,1788.9997828028836,0.24052589799765156,0.07126852953920398,0.01118841066778678,0.9175430597930092,0.040300286832095536,0.027328079903098317,0.14428699832473707,0.43007589275540686,0.3083099787207644,0.049698763463897816
delta,delta_core_p1p00_open_p0p40,2,-0.08,1.0,0.4,0.002,0.002,2,398,1093,1723,0.0901446022203917,1.1526750761200522,0.8690870232124602,0.1309129767875398,0.8961736621457406,peak2,1697,1749,0.011369297804747146,0.0010190189656586913,0.00044741011780669363,0.0008282031566369378,0.8804171254292079,0.0015724260249414571,0.1171822453892138,0.9975993708184218,0.9999995397196562,321.9000221498897,1723.0005155345366,0.18682526165700233,0.9994273145896635,0.0005722251299926651,4.6028034383915895e-07,0.08619245314016656,431.53063221494955,1723.0005155345366,0.2504529907706228,0.07430349321049423,0.01188895992967233,0.9138075468598335,0.029994172338798707,0.02078777314942099,0.11661722680225234,0.4527858545151299,0.3304591014996245,0.04935587169477361
delta,delta_core_p1p00_open_p0p55,2,-0.08,1.0,0.55,0.002,0.002,2,395,1080,1686,0.08135465983186779,1.6331435800126501,0.8712463218422497,0.12875367815775035,0.8919661232862289,peak2,1660,1712,0.012702182141560533,0.0011640974939843758,0.0004660340181603211,0.0009508579859928979,0.8811529949058483,0.0015914397585609047,0.11630470734959786,0.9974577022554462,0.9999992526648666,327.5871827454397,1685.9997736596652,0.1942984737384468,0.999323338270881,0.0006759143939855106,7.473351334441602e-07,0.08770100726411954,431.218130579691,1685.9997736596652,0.2557640501004814,0.0755086109647014,0.012192396299418137,0.9122989927358804,0.024396455259595683,0.017245838250040512,0.1016500907045418,0.46529736366640373,0.3424510306328211,0.04895922148659718
delta,delta_core_p1p00_open_p0p80,2,-0.08,1.0,0.8,0.002,0.002,2,390,1059,1638,0.06821173813316715,1.92,0.8764460326262987,0.1235539673737013,0.8846398843469157,peak2,1612,1664,0.014131805814664075,0.001328485936824771,0.0004731713168191195,0.001173901341411725,0.882063496563347,0.0016566489527803801,0.11510595314246087,0.9971694497058079,0.9999985404047713,333.8634472894618,1638.0002085710698,0.20382381244060513,0.9991830114795333,0.0008155289252380626,1.4595952286811098e-06,0.08938987577817416,427.73269298258646,1638.0002085710698,0.26113103694640216,0.07703334370492618,0.01235653207324798,0.9106101242218259,0.01800409216948414,0.013218258683047062,0.08486192529064213,0.4800163003094996,0.3556290857401664,0.04827033780716069
